Option,Yes,"No, they were too harsh","No, they were too lenient",No opinion,Not familiar enough to answer
Strongly approve,30,11,2,11,10
Somewhat approve,134,113,14,31,59
No opinion,114,93,17,34,79
Somewhat disapprove,79,80,20,19,17
Strongly disapprove,9,22,2,1,0
