Option,None,Just loans,Grants and loans,"Grants, covering some costs","Grants, covering all costs"
Strongly approve,41,1,13,7,3
Somewhat approve,186,24,59,57,27
No opinion,177,13,62,49,36
Somewhat disapprove,99,13,49,30,27
Strongly disapprove,17,2,8,3,4
