Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove,Not familiar enough to answer
Strongly approve,10,19,9,21,6,0
Somewhat approve,37,99,42,106,60,8
No opinion,34,67,48,92,69,25
Somewhat disapprove,26,47,21,61,63,1
Strongly disapprove,5,4,0,4,21,0
