Option,Very comfortable,Somewhat comfortable,No opinion,Somewhat uncomfortable,Very uncomfortable
Strongly approve,24,20,5,10,6
Somewhat approve,96,151,25,65,16
No opinion,80,125,47,69,16
Somewhat disapprove,80,83,11,36,9
Strongly disapprove,16,10,0,7,1
