Option,Very conservative,Somewhat cons,Centrist,Somewhat liberal,Very lib,No opinion
Strongly approve,3,7,6,15,29,5
Somewhat approve,2,20,20,107,196,3
No opinion,3,19,29,108,158,19
Somewhat disapprove,0,10,8,47,148,3
Strongly disapprove,1,0,3,3,27,0
