Option,Grad students have been mentors (formal or informal) to me,Not Grad students have been mentors (formal or informal) to me
Strongly approve,14,50
Somewhat approve,88,264
No opinion,71,263
Somewhat disapprove,57,162
Strongly disapprove,14,20
