Option,Very conservative,Somewhat cons,Centrist,Somewhat liberal,Very lib,No opinion
Strongly approve,5,10,14,18,10,8
Somewhat approve,7,58,53,132,78,25
No opinion,9,56,40,130,44,60
Somewhat disapprove,4,22,24,88,68,13
Strongly disapprove,2,1,7,7,16,1
