Option,My parents borrow money from outside sources,Not My parents borrow money from outside sources
Strongly approve,2,49
Somewhat approve,11,199
Somewhat disapprove,4,70
Strongly disapprove,2,15
I am aware of the plan but do not know enough to have an opinion,31,468
I have not heard of the strategic plan,7,153
