Option,Black,Not Black
Strongly approve,4,47
Somewhat approve,27,182
Somewhat disapprove,10,64
Strongly disapprove,0,18
I am aware of the plan but do not know enough to have an opinion,47,451
I have not heard of the strategic plan,20,139
