Option,Non-University grants and scholarships,Not Non-University grants and scholarships
Strongly approve,7,44
Somewhat approve,64,146
Somewhat disapprove,16,58
Strongly disapprove,4,13
I am aware of the plan but do not know enough to have an opinion,119,380
I have not heard of the strategic plan,32,128
