Option,18-24,25-29,30-34,35-39,40 or older,I don't intend to get married,I am already married,Not sure
Strongly approve,1,26,14,3,0,1,1,3
Somewhat approve,7,98,61,1,0,5,0,30
Somewhat disapprove,3,27,20,2,1,4,0,14
Strongly disapprove,1,6,6,0,0,2,0,3
I am aware of the plan but do not know enough to have an opinion,15,225,128,14,0,16,1,86
I have not heard of the strategic plan,1,82,45,4,1,5,0,16
