Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree,Not familiar enough to answer
Strongly approve,10,13,10,9,6,3
Somewhat approve,40,80,34,21,9,24
Somewhat disapprove,24,18,15,9,5,3
Strongly disapprove,9,5,3,0,1,0
I am aware of the plan but do not know enough to have an opinion,116,150,99,30,27,76
I have not heard of the strategic plan,24,39,45,15,7,29
