Option,None of the above,Not None of the above
Strongly approve,44,7
Somewhat approve,182,22
Somewhat disapprove,65,8
Strongly disapprove,15,2
I am aware of the plan but do not know enough to have an opinion,413,74
I have not heard of the strategic plan,140,18
