Option,I do not know if I use any of the above,Not I do not know if I use any of the above
Strongly approve,1,50
Somewhat approve,0,210
Somewhat disapprove,0,74
Strongly disapprove,0,17
I am aware of the plan but do not know enough to have an opinion,3,496
I have not heard of the strategic plan,0,160
