Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove,I do not know what UCS is
Strongly agree,18,37,130,15,8,14
Somewhat agree,14,89,168,19,4,10
No opinion,16,41,126,7,3,12
Somewhat disagree,7,22,39,10,2,6
Strongly disagree,5,11,26,8,1,5
Not familiar enough to answer,6,25,80,6,3,15
