Option,A significant role,A moderate role,A small role,No role,No opinion
Strongly agree,2,79,107,30,2
Somewhat agree,14,118,124,38,10
No opinion,11,106,69,18,4
Somewhat disagree,9,29,38,9,1
Strongly disagree,4,25,19,8,0
Not familiar enough to answer,8,56,49,20,2
