Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
Strongly agree,18,70,94,34,5
Somewhat agree,46,77,160,19,4
No opinion,22,81,91,12,0
Somewhat disagree,9,32,40,4,0
Strongly disagree,7,15,30,3,1
Not familiar enough to answer,10,48,71,4,2
