Option,None,Just loans,Grants and loans,"Grants, covering some costs","Grants, covering all costs"
Strongly agree,109,14,43,36,18
Somewhat agree,156,14,63,56,18
No opinion,106,10,33,34,23
Somewhat disagree,43,2,16,15,9
Strongly disagree,25,4,10,10,7
Not familiar enough to answer,63,4,30,25,11
