Option,"Yes, and I am or plan to","Yes, but I am not or do not plan to","Yes, but I am not sure if I will","No, and I am not sure if I will","No, but I am or plan to","No, and for that reason, I am not or do not plan to","No, and I would not have wanted to even if I felt more prepared"
Strongly agree,74,59,14,7,21,16,32
Somewhat agree,104,85,21,16,36,18,22
No opinion,69,38,27,17,18,13,23
Somewhat disagree,32,15,7,5,16,5,4
Strongly disagree,17,9,4,2,10,8,5
Not familiar enough to answer,46,33,12,5,19,4,16
