Option,First-year,Sophomore,Junior,Senior
Strongly agree,51,60,61,50
Somewhat agree,82,94,75,55
No opinion,72,52,40,42
Somewhat disagree,25,22,20,19
Strongly disagree,10,15,14,17
Not familiar enough to answer,42,29,32,32
