Option,"Yes, I support converting all bathrooms","Yes, I support converting some bathrooms","No, I do not support converting any bathrooms",Don't know
Strongly agree,89,109,12,13
Somewhat agree,74,152,40,35
No opinion,53,87,44,22
Somewhat disagree,21,37,17,10
Strongly disagree,11,28,10,7
Not familiar enough to answer,33,57,29,15
