Option,Protestant,Catholic,Other Christian,Jewish,Muslim,Hindu,Buddhist,Other religion,Agnostic,Atheist
Strongly agree,12,25,5,34,3,4,2,26,60,43
Somewhat agree,30,44,22,32,4,5,8,38,49,66
No opinion,28,37,19,21,1,3,10,22,30,31
Somewhat disagree,10,16,7,9,2,2,0,12,11,13
Strongly disagree,9,12,4,2,1,0,5,3,10,9
Not familiar enough to answer,24,21,8,13,2,1,0,10,26,24
