Option,"Physical sciences (incl. math, CS)","Not Physical sciences (incl. math, CS)"
Strongly agree,48,166
Somewhat agree,77,222
No opinion,60,138
Somewhat disagree,30,53
Strongly disagree,16,38
Not familiar enough to answer,37,92
