Option,American Indian/Alaska Native,Not American Indian/Alaska Native
Strongly agree,3,219
Somewhat agree,7,299
No opinion,2,204
Somewhat disagree,1,85
Strongly disagree,1,53
Not familiar enough to answer,1,134
