Option,Very conservative,Somewhat cons,Centrist,Somewhat liberal,Very lib,No opinion
First-year,5,32,31,98,45,24
Sophomore,5,31,45,99,58,26
Junior,8,44,31,74,51,31
Senior,9,40,32,103,63,26
