Option,Protestant,Catholic,Other Christian,Jewish,Muslim,Hindu,Buddhist,Other religion,Agnostic,Atheist
First-year,35,33,19,27,4,8,11,39,47,56
Sophomore,31,48,22,29,0,1,8,30,45,46
Junior,26,31,15,29,4,5,3,20,56,43
Senior,22,42,9,27,5,3,3,21,38,41
