Option,Very conservative,Somewhat cons,Centrist,Somewhat liberal,Very lib,No opinion
First-year,1,7,26,71,118,10
Sophomore,3,10,10,82,149,7
Junior,3,23,16,66,123,6
Senior,2,16,14,61,169,7
