Option,Yes,"No, they were too harsh","No, they were too lenient",No opinion,Not familiar enough to answer
First-year,61,72,14,23,64
Sophomore,63,85,19,31,65
Junior,77,62,30,20,50
Senior,93,50,27,31,71
