Option,Yes,"No, they were too harsh","No, they were too lenient",No opinion,Not familiar enough to answer
First-year,73,67,17,18,57
Sophomore,87,95,9,26,44
Junior,82,91,13,22,30
Senior,124,66,16,30,35
