Option,A significant role,A moderate role,A small role,No role,No opinion
Strongly approve,8,55,38,7,3
Somewhat approve,15,133,134,37,5
No opinion,23,198,199,57,9
Somewhat disapprove,3,27,28,17,0
Strongly disapprove,0,4,6,3,0
