Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove,I do not know what UCS is
Strongly approve,28,34,36,5,3,5
Somewhat approve,21,110,145,24,3,22
No opinion,7,67,345,26,4,36
Somewhat disapprove,9,12,41,10,4,0
Strongly disapprove,1,4,3,0,5,0
