Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
Strongly approve,112,0,0,0,0
Somewhat approve,0,326,0,0,0
No opinion,0,0,489,0,0
Somewhat disapprove,0,0,0,76,0
Strongly disapprove,0,0,0,0,13
