Option,Strongly approve,Somewhat approve,Somewhat disapprove,Strongly disapprove,I am aware of the plan but do not know enough to have an opinion,I have not heard of the strategic plan
Strongly approve,36,35,0,0,34,6
Somewhat approve,12,112,23,4,146,28
No opinion,3,48,18,3,293,119
Somewhat disapprove,0,11,27,8,26,4
Strongly disapprove,0,2,4,3,1,3
