Option,Protestant,Catholic,Other Christian,Jewish,Muslim,Hindu,Buddhist,Other religion,Agnostic,Atheist
Strongly approve,16,27,4,16,3,3,1,12,13,17
Somewhat approve,41,52,25,35,4,8,10,25,53,62
No opinion,50,67,31,47,5,6,9,57,107,92
Somewhat disapprove,6,7,6,11,1,0,4,12,10,13
Strongly disapprove,1,2,0,1,0,0,1,3,2,2
