Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree,Not familiar enough to answer
Strongly approve,18,46,22,9,7,10
Somewhat approve,70,77,81,32,15,48
No opinion,94,160,91,40,30,71
Somewhat disapprove,34,19,12,4,3,4
Strongly disapprove,5,4,0,0,1,2
