Option,"Yes, I support converting all bathrooms","Yes, I support converting some bathrooms","No, I do not support converting any bathrooms",Don't know
Strongly approve,31,44,24,11
Somewhat approve,92,155,48,29
No opinion,128,227,71,57
Somewhat disapprove,26,37,7,6
Strongly disapprove,3,9,1,0
