Option,None,Just loans,Grants and loans,"Grants, covering some costs","Grants, covering all costs"
Strongly approve,49,4,22,24,13
Somewhat approve,157,13,59,58,35
No opinion,259,28,96,72,30
Somewhat disapprove,32,2,16,19,7
Strongly disapprove,7,0,3,3,0
