Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove,I do not know what UCS is
A significant role,3,10,27,4,0,5
A moderate role,23,104,236,19,8,23
A small role,32,89,227,30,9,19
No role,8,18,67,11,4,13
No opinion,0,7,10,1,0,1
