Option,Strongly approve,Somewhat approve,Somewhat disapprove,Strongly disapprove,I am aware of the plan but do not know enough to have an opinion,I have not heard of the strategic plan
A significant role,6,13,3,0,15,12
A moderate role,24,87,24,6,202,71
A small role,15,86,38,5,202,59
No role,6,21,8,7,64,16
No opinion,0,3,1,0,13,1
