Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree,Not familiar enough to answer
A significant role,2,14,11,9,4,8
A moderate role,79,118,106,29,25,56
A small role,107,124,69,38,19,49
No role,30,38,18,9,8,20
No opinion,2,10,4,1,0,2
