Option,"Yes, and I am or plan to","Yes, but I am not or do not plan to","Yes, but I am not sure if I will","No, and I am not sure if I will","No, but I am or plan to","No, and for that reason, I am not or do not plan to","No, and I would not have wanted to even if I felt more prepared"
A significant role,16,9,10,2,7,3,2
A moderate role,156,93,32,20,49,24,37
A small role,127,98,32,24,52,24,46
No role,38,30,10,5,12,13,15
No opinion,7,9,1,0,0,0,1
