Option,None,Just loans,Grants and loans,"Grants, covering some costs","Grants, covering all costs"
A significant role,27,2,4,7,7
A moderate role,200,25,94,60,36
A small role,206,19,71,80,27
No role,57,1,23,28,14
No opinion,14,1,2,1,1
