Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
A significant role,8,15,23,3,0
A moderate role,55,133,198,27,4
A small role,38,134,199,28,6
No role,7,37,57,17,3
No opinion,3,5,9,0,0
