Option,Protestant,Catholic,Other Christian,Jewish,Muslim,Hindu,Buddhist,Other religion,Agnostic,Atheist
A significant role,7,9,1,6,0,1,0,4,6,13
A moderate role,56,65,33,37,6,11,17,43,62,72
A small role,28,67,28,51,7,3,6,45,93,71
No role,20,13,4,12,0,1,2,17,19,25
No opinion,3,1,0,4,0,1,0,0,5,5
