Option,18-24,25-29,30-34,35-39,40 or older,I don't intend to get married,I am already married,Not sure
A significant role,1,27,13,0,1,2,0,4
A moderate role,12,203,118,8,0,9,0,50
A small role,11,177,108,10,0,14,1,74
No role,5,49,30,6,1,7,1,19
No opinion,0,10,3,0,0,0,0,3
