Option,American Indian/Alaska Native,Not American Indian/Alaska Native
More than once a day,0,13
Once a day,1,77
Three to five times a week,3,153
Once or twice a week,4,233
Once or twice a month,1,136
Less than once a month,2,123
I have never masturbated,3,169
