Option,I borrow money from outside sources,Not I borrow money from outside sources
More than once a day,0,13
Once a day,4,73
Three to five times a week,8,148
Once or twice a week,9,229
Once or twice a month,2,136
Less than once a month,2,125
I have never masturbated,3,170
