Option,Native Hawaiian/Pacific Islander,Not Native Hawaiian/Pacific Islander
More than once a day,0,13
Once a day,0,78
Three to five times a week,0,156
Once or twice a week,0,237
Once or twice a month,0,137
Less than once a month,1,124
I have never masturbated,2,170
