Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree,Not familiar enough to answer
Obsessive-compulsive disorder,2,2,2,1,0,0
Not Obsessive-compulsive disorder,217,291,204,83,54,134
