Option,"Yes, I support converting all bathrooms","Yes, I support converting some bathrooms","No, I do not support converting any bathrooms",Don't know
Obsessive-compulsive disorder,5,1,0,0
Not Obsessive-compulsive disorder,271,459,150,101
