Option,Protestant,Catholic,Other Christian,Jewish,Muslim,Hindu,Buddhist,Other religion,Agnostic,Atheist
Depression,7,6,2,12,2,2,1,8,16,20
Not Depression,105,146,62,98,11,14,24,98,168,161
