Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree,Not familiar enough to answer
Attention deficit hyperactivity disorder,2,2,8,1,0,1
Not Attention deficit hyperactivity disorder,217,291,198,83,54,133
