Option,Protestant,Catholic,Other Christian,Jewish,Muslim,Hindu,Buddhist,Other religion,Agnostic,Atheist
Attention deficit disorder,3,5,0,5,0,0,0,3,2,4
Not Attention deficit disorder,109,147,64,105,13,16,25,103,182,177
