Option,Protestant,Catholic,Other Christian,Jewish,Muslim,Hindu,Buddhist,Other religion,Agnostic,Atheist
Obsessive-compulsive disorder,0,1,1,0,0,0,0,0,2,3
Not Obsessive-compulsive disorder,112,151,63,110,13,16,25,106,182,178
