Option,Strongly approve,Somewhat approve,Somewhat disapprove,Strongly disapprove,I am aware of the plan but do not know enough to have an opinion,I have not heard of the strategic plan
Attention deficit disorder,1,5,2,0,13,4
Not Attention deficit disorder,50,199,71,17,474,154
