Option,Protestant,Catholic,Other Christian,Jewish,Muslim,Hindu,Buddhist,Other religion,Agnostic,Atheist
None of the above,99,134,60,89,10,13,23,93,161,153
Not None of the above,13,18,4,21,3,3,2,13,23,28
