Option,Protestant,Catholic,Other Christian,Jewish,Muslim,Hindu,Buddhist,Other religion,Agnostic,Atheist
Attention deficit hyperactivity disorder,3,1,0,3,0,0,0,2,0,3
Not Attention deficit hyperactivity disorder,109,151,64,107,13,16,25,104,184,178
