Option,Protestant,Catholic,Other Christian,Jewish,Muslim,Hindu,Buddhist,Other religion,Agnostic,Atheist
Schizophrenia,0,1,0,0,0,0,0,0,0,0
Not Schizophrenia,112,151,64,110,13,16,25,106,184,181
