Option,Protestant,Catholic,Other Christian,Jewish,Muslim,Hindu,Buddhist,Other religion,Agnostic,Atheist
Bipolar disorder,1,0,0,0,0,0,1,1,3,0
Not Bipolar disorder,111,152,64,110,13,16,24,105,181,181
