Option,Protestant,Catholic,Other Christian,Jewish,Muslim,Hindu,Buddhist,Other religion,Agnostic,Atheist
"Yes, I support converting all bathrooms",24,28,16,28,3,4,2,38,57,70
"Yes, I support converting some bathrooms",50,73,32,62,2,7,17,44,94,81
"No, I do not support converting any bathrooms",24,34,9,12,6,5,5,16,18,20
Don't know,15,19,7,8,2,1,1,12,16,14
