Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree,Not familiar enough to answer
"Yes, I support converting all bathrooms",89,74,53,21,11,33
"Yes, I support converting some bathrooms",109,152,87,37,28,57
"No, I do not support converting any bathrooms",12,40,44,17,10,29
Don't know,13,35,22,10,7,15
