Option,"Yes, and I am or plan to","Yes, but I am not or do not plan to","Yes, but I am not sure if I will","No, and I am not sure if I will","No, but I am or plan to","No, and for that reason, I am not or do not plan to","No, and I would not have wanted to even if I felt more prepared"
"Yes, I support converting all bathrooms",98,66,16,12,44,13,29
"Yes, I support converting some bathrooms",148,124,42,24,50,35,49
"No, I do not support converting any bathrooms",53,35,19,11,17,8,10
Don't know,43,14,9,5,10,6,13
