Option,"Physical sciences (incl. math, CS)","Not Physical sciences (incl. math, CS)"
"Yes, I support converting all bathrooms",73,196
"Yes, I support converting some bathrooms",123,330
"No, I do not support converting any bathrooms",38,111
Don't know,35,66
