Option,Native Hawaiian/Pacific Islander,Not Native Hawaiian/Pacific Islander
"Yes, I support converting all bathrooms",1,279
"Yes, I support converting some bathrooms",2,471
"No, I do not support converting any bathrooms",0,151
Don't know,0,102
